smoothed_wshop_1d,smoothed_wwork_outside_home_1d,smoothed_wspent_time_1d,smoothed_wrestaurant_1d,smoothed_wlarge_event_1d,smoothed_wvaccine_likely_friends,smoothed_wcovid_vaccinated
52.8546667,30.4878524,34.412959,18.5712664,12.6270982,28.4695824,2.6382001
51.6599134,31.1772141,30.6381599,12.9911192,6.8465563,35.5827024,3.3875556
50.8606891,27.7657379,29.1606645,14.5776874,7.4327129,29.7951956,5.0990506
55.2089237,35.7890589,38.0906314,19.45288,11.0598835,34.2005094,9.0941076
52.9481884,31.2421795,31.0319297,13.1322582,9.2315455,29.2408189,15.9101673
52.2240637,26.6143846,33.8944711,18.4657103,9.2858514,38.0283048,4.7153096
50.9836652,24.4672354,30.6745318,17.5930557,9.3648621,34.4484575,4.0056789
52.7068158,24.3710773,30.4899392,13.8140717,6.4183424,36.1174705,6.2496587
50.956848,28.378487,32.7366128,14.7498422,10.3586735,26.8380555,6.519826
53.2766552,24.7927702,29.4206333,7.4256107,8.6244123,30.8016864,4.925455
47.609747,19.8030687,22.3517642,5.0254145,3.4430921,40.7925867,3.1852345
48.13852,22.9401682,22.5301386,3.4177011,2.8253465,38.0354696,3.7431122
46.5009475,21.6322996,24.4558511,5.1818818,5.3795166,39.3667729,3.0593543
49.3568341,22.1138353,24.8629164,9.5985073,5.8402372,36.123751,3.5276318
45.3668506,22.9437291,18.9817091,3.9854979,2.8876523,41.9118857,3.912001
49.7237342,25.9328074,22.5340545,3.7522896,2.6300416,39.2539306,5.999212
49.0393656,25.4543867,24.2552571,7.7789366,4.1717782,39.6037051,3.4616859
48.557102,21.9411053,22.75345,6.2475784,5.2856623,38.6561645,1.9001036
50.0516739,20.0952535,27.9032289,5.9471568,3.7766849,34.8733037,5.648511
48.4703959,24.6120246,21.8811375,5.4622221,4.5676792,35.8534808,3.0557164
49.164248,24.1043482,26.8151516,8.0095546,5.5436551,34.6897584,2.9148135
46.8376592,14.8699084,19.7674587,3.4961948,1.3711911,35.1683348,3.5060684
50.018071,23.7095902,25.1845152,5.7938517,5.6407544,35.3079028,4.7759457
45.0685511,18.694098,19.6938879,4.759558,3.3359193,39.906935,2.0256387
51.3938533,22.0143134,25.9365211,5.5638618,6.4400766,33.3775396,1.8143311
45.0229819,19.6246777,18.9830808,4.5865595,2.5977573,42.0931251,3.6884773
45.2910903,20.5787509,18.3138086,4.7437548,3.3976043,37.3700471,3.3901692
47.4904785,19.3665471,22.7407988,1.637456,2.6754904,38.7405986,3.8088336
53.9044644,25.4380662,27.2328099,5.2475991,5.4263234,32.77572,5.52316
48.1353554,26.6650691,27.5826147,5.2435535,7.247923,36.9856899,3.3090264
48.6567414,25.4036801,21.2393484,3.8588985,3.8057534,36.4124569,3.1553614
52.1284322,26.9968632,28.7596612,14.4976325,7.7375232,30.7500033,5.2629816
46.3177302,22.9040721,28.6781926,9.75087,2.972897,28.7100435,7.1513559
48.6889785,23.3678129,30.8784171,12.7673198,5.2439132,32.3876677,4.0893602
50.0019668,24.3747704,31.599113,9.8216404,6.1592932,31.8050051,6.9956006
49.0497818,25.8547784,31.7768584,9.9921648,5.7491841,34.4286762,9.0488861
53.743418775829326,34.25071536428447,31.918883026428887,15.451650114358863,8.483991761684901,34.536913446036515,4.9726965
44.1629153,21.4804013,24.5938161,8.8081291,4.5333258,37.2822732,5.3947682
49.5623008,23.7301385,26.8808954,8.094271,4.8542592,34.2649858,6.1019509
50.1575304,25.2215346,27.2564451,10.010441,6.0624498,34.0405929,5.5831724
53.743418775829326,34.25071536428447,31.918883026428887,15.451650114358863,8.483991761684901,34.536913446036515,4.3186024
47.5880955,26.3356918,25.1004751,10.1919803,4.9930157,33.6031191,3.7948934
53.4330915,26.9350722,35.2382952,19.745732,12.8720012,27.1155758,5.4974006
52.998114,23.7710163,31.6310181,17.4218941,6.7863153,40.061417,4.4190856
51.9143969,28.4842499,27.9728934,16.5720732,9.8121353,31.2019294,5.5208203
52.7085087,27.5758496,32.5311082,19.0319104,10.5350743,32.7516029,5.1161586
59.1288364,26.3399287,37.4845624,23.1530071,12.8816043,32.6776472,5.956849
55.7586829,23.6517408,35.0896453,23.95106,11.0300555,30.943413,3.5533864
53.5744225,21.1814282,29.8252844,16.3561011,10.0511068,30.8401884,1.5698342
48.5997787,25.4782876,26.6356677,13.6365145,8.4969254,46.7674757,2.2653346
48.8474627,29.7358303,31.6106008,19.5035817,9.9277464,37.0237665,5.0844336
56.436349,25.0342988,29.6836186,18.4219138,8.9650426,35.8096014,4.9023101
50.2087753,25.05476,31.1779531,17.8444595,9.3836153,33.1533893,6.8950191
52.7228371,27.0724675,32.490078,21.8228252,11.0670116,32.2248191,5.5119389
51.871387,25.8438348,32.0349619,21.2098101,12.3206668,31.1981395,5.6854171
55.8780211,23.5757223,34.2253778,22.2223244,11.127986,31.1140636,9.1081166
53.5216706,23.385562,34.0758797,18.6389193,10.7067646,27.1645104,6.2435713
51.397702,30.5187881,30.8536816,17.5816117,11.8793792,28.4309318,4.9989126
